model,fragmentation_rate,compression_ratio,avg_processing_time,tokens_per_second,total_tokens,total_words
unigram,0.16849015317286653,0.5004855873540655,0.002983386516571045,162214.98532353356,48395,24221
sentencepiece_unigram,0.2151438834069609,0.4858971272668913,0.0011624979972839355,428800.73872355086,49848,24221
sentencepiece_bpe,0.2650179596218158,0.5984483482815705,0.0020481038093566896,197612.0537206197,40473,24221
wordpiece,0.28202799223814046,0.6494610393092722,0.0008032155036926269,464308.76680726523,37294,24221
bpe,0.28566120308822923,0.6609632964933825,0.0010740518569946288,341184.6435658949,36645,24221
