n_components,total_variance_explained,variance_90_percent,variance_95_percent,variance_99_percent,first_component_variance,top_5_components_variance,processing_time
10,0.0806564199820572,10,10,10,0.0090394185912119,0.05002927307881735,0.433429479598999
50,0.20959063738970737,50,50,50,0.009039415673458073,0.05002966542071609,2.073474168777466
100,0.3125945563407447,100,100,100,0.009039415703739761,0.05002968193909614,5.107897996902466
200,0.4664183156672926,200,200,200,0.009039415714746424,0.05002968188477064,11.267701864242554
500,0.7688518566185086,500,500,500,0.00903941571493614,0.05002968192566839,9.294229745864868
